Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
508,Mammalia,Mammalia,Hyracoidea,Rock Hyrax,2799.316406,3.447051989,Procavia capensis,Procavia capensis,4.22461154,0.62578678,03.juin,0.5563025,Open,21
509,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,2928.515625,3.466647546,Marmota flaviventris,Marmota flaviventris,1.49362574,0.17424179,03.mai,0.54406804,Open,8
510,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,3251.513672,3.512085584,Marmota flaviventris,Marmota flaviventris,7.35547592,0.86661078,03.mai,0.54406804,Open,8
511,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,2734.716797,3.436912358,Marmota flaviventris,Marmota flaviventris,0.77314917,-0.11173671,03.mai,0.54406804,Open,8
512,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,3165.380859,3.500425972,Marmota flaviventris,Marmota flaviventris,0.49271274,-0.30740621,03.mai,0.54406804,Open,8
513,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,3660.644531,3.563557559,Marmota flaviventris,Marmota flaviventris,0.85786271,-0.06658221,03.mai,0.54406804,Open,8
514,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.69680104,-0.15689121,03.mai,0.54406804,Open,8
515,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.25598453,0.09898429,03.mai,0.54406804,Open,8
516,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.60660054,-0.21709721,03.mai,0.54406804,Open,8
517,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.97085097,0.29465379,03.mai,0.54406804,Open,8
518,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.02017644,0.00867529,03.mai,0.54406804,Open,8
519,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.82864076,-0.08163371,03.mai,0.54406804,Open,8
520,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.67306544,-0.17194271,03.mai,0.54406804,Open,8
521,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.45971725,-0.33750921,03.mai,0.54406804,Open,8
522,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.171875,0.06888129,03.mai,0.54406804,Open,8
523,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.05615289,0.02372679,03.mai,0.54406804,Open,8
524,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,0.91943449,-0.03647921,03.mai,0.54406804,Open,8
525,Mammalia,Mammalia,Rodentia,Yellow Bellied Marmot,,,Marmota flaviventris,Marmota flaviventris,1.34613089,0.12908729,03.mai,0.54406804,Open,8
