Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
144,Aves,Aves,Passeriformes,Rifleman,8656.347656,3.93733469,Acanthisitta chloris,Acanthisitta chloris,avr.75,0.67094128,0.0065,-2.18708664,Semi-Closed,9
145,Aves,Aves,Passeriformes,Rifleman,8354.882813,3.921940363,Acanthisitta chloris,Acanthisitta chloris,9.375,0.97197128,0.0065,-2.18708664,Semi-Closed,9
146,Aves,Aves,Passeriformes,Rifleman,11541.79688,4.062273427,Acanthisitta chloris,Acanthisitta chloris,8.16141153,0.91176528,0.0065,-2.18708664,Semi-Closed,9
147,Aves,Aves,Passeriformes,Rifleman,8893.212891,3.949058689,Acanthisitta chloris,Acanthisitta chloris,5.97450294,0.77630178,0.0065,-2.18708664,Semi-Closed,9
148,Aves,Aves,Passeriformes,Scarlet Tanager,2713.183594,3.433479182,Piranga olivacea,Piranga olivacea,1.90371655,0.27960229,0.03075,-1.51215488,Closed,7
149,Aves,Aves,Passeriformes,Scarlet Tanager,3186.914063,3.503370353,Piranga olivacea,Piranga olivacea,1.90371655,0.27960229,0.03075,-1.51215488,Closed,7
150,Aves,Aves,Passeriformes,Scarlet Tanager,3079.248047,3.488444675,Piranga olivacea,Piranga olivacea,1.77623035,0.24949929,0.03075,-1.51215488,Closed,7
151,Aves,Aves,Passeriformes,Scarlet Tanager,2562.451172,3.408655599,Piranga olivacea,Piranga olivacea,1.77623035,0.24949929,0.03075,-1.51215488,Closed,7
152,Aves,Aves,Passeriformes,Scarlet Tanager,2691.650391,3.43001865,Piranga olivacea,Piranga olivacea,1.83886898,0.26455079,0.03075,-1.51215488,Closed,7
153,Aves,Aves,Columbiformes,Stock Dove,409.1308594,2.611862238,Columba oenas,Columba livia,1.05615289,0.02372679,0.4605,-0.33677037,Semi-Closed,3
154,Aves,Aves,Columbiformes,Stock Dove,473.7304688,2.675531318,Columba oenas,Columba livia,1.02017644,0.00867529,0.4605,-0.33677037,Semi-Closed,3
